date,heure,élu
2010-01-19,20:00,Georges Lecleve
2010-01-19,20:00,Jacques Chevalier
2010-01-19,20:00,Jean-Marie Gatard
2010-01-19,20:00,Jean-Paul Leray
2010-01-19,20:00,Jean-Pierre Grandjouan
2010-01-19,20:00,Marie-Jo Batard
2010-01-19,20:00,Michel Gravouil
2010-01-19,20:00,Nicolas Boucher
2010-01-19,20:00,Paul Pipaud
2010-01-19,20:00,Philippe Briand
2010-01-19,20:00,Régine Cormier
2010-02-16,20:00,Alice Biczysko
2010-02-16,20:00,Annie Bardoul
2010-02-16,20:00,Bernard Chazelas
2010-02-16,20:00,Eric Lombrey
2010-02-16,20:00,Georges Lecleve
2010-02-16,20:00,Jacques Chevalier
2010-02-16,20:00,Jean-Paul Leray
2010-02-16,20:00,Jean-Pierre Grandjouan
2010-02-16,20:00,Marie-Jo Batard
2010-02-16,20:00,Michèle Francheteau
2010-02-16,20:00,Nicolas Boucher
